type,id,topicId,text_de,text_en,answer0_de,answer0_en,answer1_de,answer1_en,answer2_de,answer2_en,answer3_de,answer3_en,explanation_de,explanation_en
general,"Q011","democracy","Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Grundgesetz","Grundgesetz","Bundesverfassung","Bundesverfassung","Gesetzbuch","Gesetzbuch","Verfassungsvertrag","Verfassungsvertrag","Offizieller Name der Verfassung ist Grundgesetz.","Offizieller Name der Verfassung ist Grundgesetz."
general,"Q012","democracy","Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.","Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.","Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.","Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.","Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.","Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.","Als Grundrecht ist die Pressefreiheit verfassungsrechtlich geschützt.","Als Grundrecht ist die Pressefreiheit verfassungsrechtlich geschützt."
general,"Q013","democracy","Im Parlament steht der Begriff ""Opposition"" für …","Im Parlament steht der Begriff ""Opposition"" für …","die regierenden Parteien.","die regierenden Parteien.","die Fraktion mit den meisten Abgeordneten.","die Fraktion mit den meisten Abgeordneten.","alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.","alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.","Die Opposition besteht aus allen Parteien, die nicht in der Regierung sind.","Die Opposition besteht aus allen Parteien, die nicht in der Regierung sind."
general,"Q014","democracy","Meinungsfreiheit in Deutschland heißt, dass ich …","Meinungsfreiheit in Deutschland heißt, dass ich …","Passanten auf der Straße beschimpfen darf.","Passanten auf der Straße beschimpfen darf.","meine Meinung im Internet äußern kann.","meine Meinung im Internet äußern kann.","Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf.","Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf.","meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.","meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.","Meinungsäußerung ist geschützt, aber Beleidigungen und verfassungsfeindliche Symbole sind verboten.","Meinungsäußerung ist geschützt, aber Beleidigungen und verfassungsfeindliche Symbole sind verboten."
general,"Q015","democracy","Was verbietet das deutsche Grundgesetz?","Was verbietet das deutsche Grundgesetz?","Militärdienst","Militärdienst","Zwangsarbeit","Zwangsarbeit","freie Berufswahl","freie Berufswahl","Arbeit im Ausland","Arbeit im Ausland","Zwangsarbeit ist verfassungsrechtlich verboten.","Zwangsarbeit ist verfassungsrechtlich verboten."
general,"Q016","democracy","Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen","bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen","bei Meinungsäußerungen über die Bundesregierung","bei Meinungsäußerungen über die Bundesregierung","bei Diskussionen über Religionen","bei Diskussionen über Religionen","bei Kritik am Staat","bei Kritik am Staat","Unwahre, ehrverletzende Tatsachenbehauptungen sind nicht geschützt.","Unwahre, ehrverletzende Tatsachenbehauptungen sind nicht geschützt."
general,"Q017","democracy","Die deutschen Gesetze verbieten …","Die deutschen Gesetze verbieten …","Meinungsfreiheit der Einwohnerinnen und Einwohner.","Meinungsfreiheit der Einwohnerinnen und Einwohner.","Petitionen der Bürgerinnen und Bürger.","Petitionen der Bürgerinnen und Bürger.","Versammlungsfreiheit der Einwohnerinnen und Einwohner.","Versammlungsfreiheit der Einwohnerinnen und Einwohner.","Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.","Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.","Der Staat darf niemanden ohne sachlichen Grund ungleich behandeln.","Der Staat darf niemanden ohne sachlichen Grund ungleich behandeln."
general,"Q018","democracy","Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","die Unantastbarkeit der Menschenwürde","die Unantastbarkeit der Menschenwürde","das Recht auf Leben","das Recht auf Leben","Religionsfreiheit","Religionsfreiheit","Meinungsfreiheit","Meinungsfreiheit","Art. 1 GG stellt die Menschenwürde unter besonderen Schutz.","Art. 1 GG stellt die Menschenwürde unter besonderen Schutz."
general,"Q019","democracy","Was versteht man unter dem Recht der ""Freizügigkeit"" in Deutschland?","Was versteht man unter dem Recht der ""Freizügigkeit"" in Deutschland?","Man darf sich seinen Wohnort selbst aussuchen.","Man darf sich seinen Wohnort selbst aussuchen.","Man kann seinen Beruf wechseln.","Man kann seinen Beruf wechseln.","Man darf sich für eine andere Religion entscheiden.","Man darf sich für eine andere Religion entscheiden.","Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.","Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.","Freizügigkeit bedeutet freie Wahl des Aufenthalts- und Wohnortes.","Freizügigkeit bedeutet freie Wahl des Aufenthalts- und Wohnortes."
general,"Q020","democracy","Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","tolerant.","tolerant.","rechtsstaatlich orientiert.","rechtsstaatlich orientiert.","gesetzestreu.","gesetzestreu.","verfassungswidrig.","verfassungswidrig.","Ziele gegen die freiheitlich-demokratische Grundordnung sind verfassungswidrig.","Ziele gegen die freiheitlich-demokratische Grundordnung sind verfassungswidrig."
general,"Q021","people_society","Welches ist das Wappen der Bundesrepublik Deutschland?","Welches ist das Wappen der Bundesrepublik Deutschland?","Bild 1.","Bild 1.","Bild 2.","Bild 2.","Bild 3.","Bild 3.","Bild 4.","Bild 4.","Das Wappen der Bundesrepublik Deutschland zeigt einen schwarzen Adler auf goldenem Grund.","Das Wappen der Bundesrepublik Deutschland zeigt einen schwarzen Adler auf goldenem Grund."
general,"Q022","democracy","Was für eine Staatsform hat Deutschland?","Was für eine Staatsform hat Deutschland?","Monarchie","Monarchie","Diktatur","Diktatur","Republik","Republik","Fürstentum","Fürstentum","Deutschland ist eine parlamentarische Republik.","Deutschland ist eine parlamentarische Republik."
general,"Q023","people_society","In Deutschland sind die meisten Erwerbstätigen …","In Deutschland sind die meisten Erwerbstätigen …","in kleinen Familienunternehmen beschäftigt.","in kleinen Familienunternehmen beschäftigt.","ehrenamtlich für ein Bundesland tätig.","ehrenamtlich für ein Bundesland tätig.","selbstständig mit einer eigenen Firma tätig.","selbstständig mit einer eigenen Firma tätig.","bei einer Firma oder Behörde beschäftigt.","bei einer Firma oder Behörde beschäftigt.","Die Mehrheit arbeitet als Beschäftigte in Unternehmen oder Behörden.","Die Mehrheit arbeitet als Beschäftigte in Unternehmen oder Behörden."
general,"Q024","democracy","Wie viele Bundesländer hat die Bundesrepublik Deutschland?","Wie viele Bundesländer hat die Bundesrepublik Deutschland?","14","14","15","15","16","16","17","17","Deutschland besteht aus 16 Bundesländern.","Deutschland besteht aus 16 Bundesländern."
general,"Q025","history_responsibility","Was ist kein Bundesland der Bundesrepublik Deutschland?","Was ist kein Bundesland der Bundesrepublik Deutschland?","Elsass-Lothringen","Elsass-Lothringen","Nordrhein-Westfalen","Nordrhein-Westfalen","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","Sachsen-Anhalt","Sachsen-Anhalt","Elsass-Lothringen ist eine Region in Frankreich, kein deutsches Bundesland. Sie war vor dem Ersten Weltkrieg ein Teil des Deutschen Reiches.","Elsass-Lothringen ist eine Region in Frankreich, kein deutsches Bundesland. Sie war vor dem Ersten Weltkrieg ein Teil des Deutschen Reiches."
general,"Q026","democracy","Deutschland ist …","Deutschland ist …","eine kommunistische Republik.","eine kommunistische Republik.","ein demokratischer und sozialer Bundesstaat.","ein demokratischer und sozialer Bundesstaat.","eine kapitalistische und soziale Monarchie.","eine kapitalistische und soziale Monarchie.","ein sozialer und sozialistischer Bundesstaat.","ein sozialer und sozialistischer Bundesstaat.","Das Grundgesetz definiert Deutschland als demokratischen und sozialen Bundesstaat.","Das Grundgesetz definiert Deutschland als demokratischen und sozialen Bundesstaat."
general,"Q027","democracy","Deutschland ist …","Deutschland ist …","ein sozialistischer Staat.","ein sozialistischer Staat.","ein Bundesstaat.","ein Bundesstaat.","eine Diktatur.","eine Diktatur.","eine Monarchie.","eine Monarchie.","Die Kompetenzen sind zwischen Bund und Ländern verteilt.","Die Kompetenzen sind zwischen Bund und Ländern verteilt."
general,"Q028","democracy","Wer wählt in Deutschland die Abgeordneten zum Bundestag?","Wer wählt in Deutschland die Abgeordneten zum Bundestag?","das Militär","das Militär","die Wirtschaft","die Wirtschaft","das wahlberechtigte Volk","das wahlberechtigte Volk","die Verwaltung","die Verwaltung","Die Bürgerinnen und Bürger wählen die Bundestagsabgeordneten.","Die Bürgerinnen und Bürger wählen die Bundestagsabgeordneten."
general,"Q029","democracy","Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Löwe","Löwe","Adler","Adler","Bär","Bär","Pferd","Pferd","Das Wappentier der Bundesrepublik Deutschland ist der Adler.","Das Wappentier der Bundesrepublik Deutschland ist der Adler."
general,"Q030","democracy","Was ist kein Merkmal unserer Demokratie?","Was ist kein Merkmal unserer Demokratie?","regelmäßige Wahlen","regelmäßige Wahlen","Pressezensur","Pressezensur","Meinungsfreiheit","Meinungsfreiheit","verschiedene Parteien","verschiedene Parteien","Zensur widerspricht demokratischen Grundprinzipien.","Zensur widerspricht demokratischen Grundprinzipien."
general,"Q031","democracy","Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Einheit.","Einheit.","Koalition.","Koalition.","Ministerium.","Ministerium.","Fraktion.","Fraktion.","Koalitionen entstehen, wenn keine Partei allein regieren kann und mehrere Parteien zusammenarbeiten.","Koalitionen entstehen, wenn keine Partei allein regieren kann und mehrere Parteien zusammenarbeiten."
general,"Q032","democracy","Was ist keine staatliche Gewalt in Deutschland?","Was ist keine staatliche Gewalt in Deutschland?","Gesetzgebung","Gesetzgebung","Regierung","Regierung","Presse","Presse","Rechtsprechung","Rechtsprechung","Die drei Gewalten sind Legislative, Exekutive und Judikative. Medien sind keine staatliche Gewalt, werden aber teilweise als vierte Gewalt bezeichnet.","Die drei Gewalten sind Legislative, Exekutive und Judikative. Medien sind keine staatliche Gewalt, werden aber teilweise als vierte Gewalt bezeichnet."
general,"Q033","democracy","Welche Aussage ist richtig? In Deutschland …","Welche Aussage ist richtig? In Deutschland …","sind Staat und Religionsgemeinschaften voneinander getrennt.","sind Staat und Religionsgemeinschaften voneinander getrennt.","bilden die Religionsgemeinschaften den Staat.","bilden die Religionsgemeinschaften den Staat.","ist der Staat abhängig von den Religionsgemeinschaften.","ist der Staat abhängig von den Religionsgemeinschaften.","bilden Staat und Religionsgemeinschaften eine Einheit.","bilden Staat und Religionsgemeinschaften eine Einheit.","Deutschland ist ein religiös neutraler Staat mit Trennung von Staat und Religion.","Deutschland ist ein religiös neutraler Staat mit Trennung von Staat und Religion."
general,"Q034","democracy","Was ist Deutschland nicht?","Was ist Deutschland nicht?","eine Demokratie","eine Demokratie","ein Rechtsstaat","ein Rechtsstaat","eine Monarchie","eine Monarchie","ein Sozialstaat","ein Sozialstaat","Deutschland hat kein monarchisches Staatsoberhaupt.","Deutschland hat kein monarchisches Staatsoberhaupt."
general,"Q035","people_society","Womit finanziert der deutsche Staat die Sozialversicherung?","Womit finanziert der deutsche Staat die Sozialversicherung?","Kirchensteuer","Kirchensteuer","Sozialabgaben","Sozialabgaben","Spendengeldern","Spendengeldern","Vereinsbeiträgen","Vereinsbeiträgen","Sozialversicherungen werden durch Beiträge von Beschäftigten und Arbeitgebern finanziert.","Sozialversicherungen werden durch Beiträge von Beschäftigten und Arbeitgebern finanziert."
general,"Q036","people_society","Welche Maßnahme schafft in Deutschland soziale Sicherheit?","Welche Maßnahme schafft in Deutschland soziale Sicherheit?","die Krankenversicherung","die Krankenversicherung","die Autoversicherung","die Autoversicherung","die Gebäudeversicherung","die Gebäudeversicherung","die Haftpflichtversicherung","die Haftpflichtversicherung","Die gesetzliche Krankenversicherung ist Teil der sozialen Sicherung.","Die gesetzliche Krankenversicherung ist Teil der sozialen Sicherung."
general,"Q037","democracy","Wie werden die Regierungschefinnen/Regierungschefs der meisten Bundesländer in Deutschland genannt?","Wie werden die Regierungschefinnen/Regierungschefs der meisten Bundesländer in Deutschland genannt?","Erste Ministerin/Erster Minister","Erste Ministerin/Erster Minister","Premierministerin/Premierminister","Premierministerin/Premierminister","Senatorin/Senator","Senatorin/Senator","Ministerpräsidentin/Ministerpräsident","Ministerpräsidentin/Ministerpräsident","In fast allen Ländern lautet die Amtsbezeichnung Ministerpräsident/in.","In fast allen Ländern lautet die Amtsbezeichnung Ministerpräsident/in."
general,"Q038","democracy","Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Staatenverbund.","Staatenverbund.","Bundesstaat.","Bundesstaat.","Staatenbund.","Staatenbund.","Zentralstaat.","Zentralstaat.","Deutschland ist ein Bundesstaat mit Ländern und Bund.","Deutschland ist ein Bundesstaat mit Ländern und Bund."
general,"Q039","democracy","Was hat jedes deutsche Bundesland?","Was hat jedes deutsche Bundesland?","eine eigene Außenministerin/einen eigenen Außenminister","eine eigene Außenministerin/einen eigenen Außenminister","eine eigene Währung","eine eigene Währung","eine eigene Armee","eine eigene Armee","eine eigene Regierung","eine eigene Regierung","Jedes Land besitzt eine eigene Landesregierung.","Jedes Land besitzt eine eigene Landesregierung."
general,"Q040","history_responsibility","Mit welchen Worten beginnt die deutsche Nationalhymne?","Mit welchen Worten beginnt die deutsche Nationalhymne?","Völker, hört die Signale …","Völker, hört die Signale …","Einigkeit und Recht und Freiheit …","Einigkeit und Recht und Freiheit …","Freude schöner Götterfunken …","Freude schöner Götterfunken …","Deutschland einig Vaterland …","Deutschland einig Vaterland …","Die Hymne beginnt mit „Einigkeit und Recht und Freiheit …“. Diese Worte stammen aus der dritten Strophe des Liedes „Das Lied der Deutschen“ von August Heinrich Hoffmann von Fallersleben.","Die Hymne beginnt mit „Einigkeit und Recht und Freiheit …“. Diese Worte stammen aus der dritten Strophe des Liedes „Das Lied der Deutschen“ von August Heinrich Hoffmann von Fallersleben."
general,"Q041","democracy","Warum gibt es in einer Demokratie mehr als eine Partei?","Warum gibt es in einer Demokratie mehr als eine Partei?","weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden","weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden","damit Bestechung in der Politik begrenzt wird","damit Bestechung in der Politik begrenzt wird","um politische Demonstrationen zu verhindern","um politische Demonstrationen zu verhindern","um wirtschaftlichen Wettbewerb anzuregen","um wirtschaftlichen Wettbewerb anzuregen","Mehrparteiensysteme spiegeln Vielfalt von Interessen und Meinungen wider.","Mehrparteiensysteme spiegeln Vielfalt von Interessen und Meinungen wider."
general,"Q042","democracy","Wer beschließt in Deutschland ein neues Gesetz?","Wer beschließt in Deutschland ein neues Gesetz?","die Regierung","die Regierung","das Parlament","das Parlament","die Gerichte","die Gerichte","die Polizei","die Polizei","Gesetze werden von den Parlamenten beschlossen.","Gesetze werden von den Parlamenten beschlossen."
general,"Q043","democracy","Wann kann in Deutschland eine Partei verboten werden?","Wann kann in Deutschland eine Partei verboten werden?","wenn ihr Wahlkampf zu teuer ist","wenn ihr Wahlkampf zu teuer ist","wenn sie gegen die Verfassung kämpft","wenn sie gegen die Verfassung kämpft","wenn sie Kritik am Staatsoberhaupt äußert","wenn sie Kritik am Staatsoberhaupt äußert","wenn ihr Programm eine neue Richtung vorschlägt","wenn ihr Programm eine neue Richtung vorschlägt","Verfassungsfeindliche Parteien können vom Bundesverfassungsgericht verboten werden.","Verfassungsfeindliche Parteien können vom Bundesverfassungsgericht verboten werden."
general,"Q044","democracy","Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?","Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?","Abgeordnete des EU-Parlaments","Abgeordnete des EU-Parlaments","Die Bundespräsidentin/den Bundespräsidenten","Die Bundespräsidentin/den Bundespräsidenten","Landtagsabgeordnete","Landtagsabgeordnete","Bundestagsabgeordnete","Bundestagsabgeordnete","Die Bundespräsidentin oder der Bundespräsident wird von der Bundesversammlung gewählt, nicht direkt vom Volk.","Die Bundespräsidentin oder der Bundespräsident wird von der Bundesversammlung gewählt, nicht direkt vom Volk."
general,"Q045","people_society","Zu welcher Versicherung gehört die Pflegeversicherung?","Zu welcher Versicherung gehört die Pflegeversicherung?","Sozialversicherung","Sozialversicherung","Unfallversicherung","Unfallversicherung","Hausratsversicherung","Hausratsversicherung","Haftpflicht- und Feuerversicherung","Haftpflicht- und Feuerversicherung","Die Pflegeversicherung ist ein Teil der gesetzlichen Sozialversicherung in Deutschland.","Die Pflegeversicherung ist ein Teil der gesetzlichen Sozialversicherung in Deutschland."
general,"Q046","people_society","Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Er baut Straßen und Schulen.","Er baut Straßen und Schulen.","Er verkauft Lebensmittel und Kleidung.","Er verkauft Lebensmittel und Kleidung.","Er versorgt alle Einwohnerinnen und Einwohner kostenlos mit Zeitungen.","Er versorgt alle Einwohnerinnen und Einwohner kostenlos mit Zeitungen.","Er produziert Autos und Busse.","Er produziert Autos und Busse.","Der Staat sorgt für öffentliche Infrastruktur wie Straßen und Bildungseinrichtungen.","Der Staat sorgt für öffentliche Infrastruktur wie Straßen und Bildungseinrichtungen."
general,"Q047","people_society","Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Er bezahlt für alle Staatsangehörigen Urlaubsreisen.","Er bezahlt für alle Staatsangehörigen Urlaubsreisen.","Er zahlt Kindergeld.","Er zahlt Kindergeld.","Er unterstützt Museen.","Er unterstützt Museen.","Er fördert Sportlerinnen und Sportler.","Er fördert Sportlerinnen und Sportler.","Urlaubsreisen gehören nicht zu den Aufgaben des Staates.","Urlaubsreisen gehören nicht zu den Aufgaben des Staates."
general,"Q048","democracy","Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","der Bundesrat","der Bundesrat","die Bundespräsidentin/der Bundespräsident","die Bundespräsidentin/der Bundespräsident","die Bürgerversammlung","die Bürgerversammlung","die Regierung","die Regierung","Die Bürgerversammlung ist kein Verfassungsorgan. Zu den Verfassungsorganen gehören Bundestag, Bundesrat, Bundesregierung, Bundespräsident und Bundesverfassungsgericht.","Die Bürgerversammlung ist kein Verfassungsorgan. Zu den Verfassungsorganen gehören Bundestag, Bundesrat, Bundesregierung, Bundespräsident und Bundesverfassungsgericht."
general,"Q049","democracy","Wer bestimmt in Deutschland die Schulpolitik?","Wer bestimmt in Deutschland die Schulpolitik?","die Lehrer und Lehrerinnen","die Lehrer und Lehrerinnen","die Bundesländer","die Bundesländer","das Familienministerium","das Familienministerium","die Universitäten","die Universitäten","Bildung ist in Deutschland Ländersache. Daher entscheiden die Bundesländer über die Schulpolitik.","Bildung ist in Deutschland Ländersache. Daher entscheiden die Bundesländer über die Schulpolitik."
general,"Q050","democracy","Die Wirtschaftsform in Deutschland nennt man …","Die Wirtschaftsform in Deutschland nennt man …","freie Zentralwirtschaft.","freie Zentralwirtschaft.","soziale Marktwirtschaft.","soziale Marktwirtschaft.","gelenkte Zentralwirtschaft.","gelenkte Zentralwirtschaft.","Planwirtschaft.","Planwirtschaft.","Die soziale Marktwirtschaft verbindet freie Märkte, den Kapitalismus, mit sozialem Ausgleich durch den Staat.","Die soziale Marktwirtschaft verbindet freie Märkte, den Kapitalismus, mit sozialem Ausgleich durch den Staat."
general,"Q051","people_society","Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","Menschen sich kritisch über die Regierung äußern können.","Menschen sich kritisch über die Regierung äußern können.","Bürger friedlich demonstrieren gehen dürfen.","Bürger friedlich demonstrieren gehen dürfen.","Menschen von einer Privatpolizei ohne Grund verhaftet werden.","Menschen von einer Privatpolizei ohne Grund verhaftet werden.","jemand ein Verbrechen begeht und deshalb verhaftet wird.","jemand ein Verbrechen begeht und deshalb verhaftet wird.","In einem Rechtsstaat darf niemand willkürlich von einer Privatpolizei verhaftet werden.","In einem Rechtsstaat darf niemand willkürlich von einer Privatpolizei verhaftet werden."
